,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,1.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,"2 868,70",,,,,,O
1,2.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,32350,,,,,,O
2,3.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,7500,,,,,,O
3,4.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,7500,,,,,,O
4,5.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,30280,,,,,,O
5,6.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,5250,,,,,,O
6,7.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,7500,,,,,,O
7,8.0,202796.0,TRES HAUTS DE SEINE AM,,,,,,,,88400,,,,,,O
8,9.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,18900,,,,,,O
9,10.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,"2 007,00",,,,,,O
0,11.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,"1 634,20",,,,,,O
1,12.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,40000,,,,,,
2,13.0,203448.0,TRES. HAUTS DE SEINE A,,,,,,,,27300,,,,,,O
3,14.0,203662.0,TRES.92 AMENDES/ALLIAN,,,,,,,,50840,,,,,,
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
0,11.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,"1 634,20",,,,,,O
1,12.0,203268.0,TRES HTS SEINE AMENDES,,,,,,,,40000,,,,,,
2,13.0,203448.0,TRES. HAUTS DE SEINE A,,,,,,,,27300,,,,,,O
3,14.0,203662.0,TRES.92 AMENDES/ALLIAN,,,,,,,,50840,,,,,,
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
